category,title,link,img,time,detail
society,"영남대, 고에너지 충·방전소재 기술 개발",https://v.daum.net/v/20231215100505230,https://img1.daumcdn.net/thumb/S95x77ht.u/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fnews%2F202312%2F15%2Fetimesi%2F20231215100506534dfjy.jpg&scode=media,10:05,"영남대학교(총장 최외출)는 류정호 신소재공학부 교수 연구팀이 세라믹 기반 강유전체 소재를 나노구조로 상온에서 코팅하고, 저온에서 열처리해 에너지 충·방전 특성을 획기적으로 개선한 신소재를 개발했다고 15일 밝혔다.전기차나 모바일 전원으로 사용되는 배터리는 높은 에너지 저장 특성으로 오랜 시간 사용가능하지만, 순간적인 출력이 필요한 경우에는 배터리 출력이 부족하다는 단점이 있다. 이를 위해 현재는 순간적인 에너지 방출을 위해 고분자 재료를 이용한 축전기(커페시터)를 보조적으로 사용하고 있지만 온도변화에 약하고 낮은 유전특성을 지닌 소재 탓에 저장할 수 있는 에너지양이 제한적이었다.일반적으로 완화형 강유전체는 고에너지를 충·방전할 수 있는 소재로 활용되고 있지만, 특정한 화학조성에서만 제조가 가능하다. 연구팀은 일반적인 강유전체 소재를 나노미터(㎚) 크기 미세한 결정입자와 유리질로 코팅해 복합적인 구조를 상온에서 만든 뒤, 600도 낮은 열처리를 통해 세라믹소재의 미세구조를 조절했다.그 결과, 기존 완화형 강유전체 특성을 가지면서 전기 에너지 저장과 방출 특성을 획기적으로 향상 시킨 유전체 소재 개발에 성공했다. 지금까지 알려진 강유전체 화학조성으로는 완화형 강유전 특성을 가질 수 없다는 기존의 한계를 넘어 순수 강유전체 조성의 세라믹 소재를 미세구조 변화만으로 완화형 강유전체 특성을 낼 수 있게 됐다.이번 연구결과를 응용해 다양한 강유전체 소재를 이용한 저장 축전기, 전기열량 효과를 이용하는 고체 냉각기, 물리량 감지 센서 등으로 산업적 활용이 가능하다.류 교수는 “연구팀이 보유한 빛을 이용한 열처리 기술을 활용하면 다양한 세라믹 소재의 광학적, 전기적, 자기적 특성을 이용한 신소재 부품으로 활용할 수 있을 것으로 기대된다”고 말했다.이번 연구는 한국연구재단 중견연구자지원사업을 통해 수행되었으며, 영남대학교 류정호 교수, 미국 펜실베니아주립대 첸 교수, 프리야 교수, 인하대학교 정대용 교수가 공동으로 진행했다. 연구 논문은 신소재 학문 분야의 세계적 학술지 '어드벤스드 머티리얼즈(Advanced Materials)'에 게재됐다."
society,"[부산소식] 경성대 발달장애인 태권도 선수단, 전국대회서 메달 19개 수확",https://v.daum.net/v/20231215100503227,https://img1.daumcdn.net/thumb/S95x77ht.u/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fnews%2F202312%2F15%2Fyonhap%2F20231215100503286ovpu.jpg&scode=media,10:05,"(부산=연합뉴스) 경성대학교는 스포츠건강학과 '다함께 차차차'의 발달장애인 태권도 시범선수단이 '제9회 한라배 전국장애인한마음태권도대회 겸 제2회 국제장애인태권도협회 초청대회'에서 모두 19개의 메달을 수확했다고 15일 밝혔다.이번 대회는 대한장애태권도협회관리위원회와 제주특별자치도장애인태권도 협회가 주최·주관하는 대회로 17개 시도와 중국, 일본, 우즈베키스탄 등 해외 선수 및 임원 등 600여 명이 참가한 가운데 진행됐다.다함께 차차차 선수단은 총 10명의 선수가 출전해 품새 개인전 및 단체전, 태권체조, 격파 부문에 나가 금메달 10개, 은메달 5개, 동메달 4개로 19개의 메달을 획득했다.다함께 차차차 태권도 시범단은 지난 7월 '제1회 스페셜올림픽코리아(SOK) 전국 태권도대회'에서 종합준우승을 수상하기도 했다."
society,"스물다섯 축구선수 하반신 마비 만든 음주운전자, 징역 5년 구형",https://v.daum.net/v/20231215100401192,https://img1.daumcdn.net/thumb/S95x77ht.u/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fnews%2F202312%2F15%2Fkbc%2F20231215100403890yuxf.jpg&scode=media,10:04,"제주지법 형사1단독 심리로 열린 결심 공판에서 검찰은 35살 A씨에게 징역 5년을 선고해달라고 요청했습니다.A씨는 지난해 10월 서귀포시 표선면의 한 사거리에서 만취 상태로 제한속도를 초과해 차를 몰다 다른 차량을 들이받아 탑승자 5명을 다치게 한 혐의를 받습니다. 당시 A씨의 혈중알코올농도는 면허 취소 수치(0.08% 이상)를 웃돌았습니다.피해 차량에는 제주유나이티드 골키퍼인 김동준, 유연수, 임준섭 선수와 트레이너 등이 타고 있었습니다.이 사고로 유연수 선수가 크게 다쳐 응급수술을 받았지만 하반신이 마비와 신경ㆍ근육기능 장애 등 부상을 입었고, 결국 유 선수는 지난달 25세의 젊은 나이로 은퇴했습니다. 유 씨 측 변호인은 “치명적 상해로 선수 생활은 물론 일상생활이 어려워졌는데, 피고인 측에서 사과나 합의 노력이 없어서 피해자 측에서 유감스럽게 생각하고 있다”고 말했습니다.A씨는 지난 1월 술에 취해 자고 있던 여성의 신체를 만진 혐의도 받습니다. 이에 대해 A씨 측은 ""만취 상태에서 피해자를 아내로 착각해 저지른 일""이라고 해명했습니다. 또 ""사과하려고 계속해서 연결을 시도했으나 연락이 닿지 않았다”며 “피고인이 일말의 양심의 가책도 없는 몰염치한 인간으로 매도되고 있는데, 성의라도 보이려고 주변에 돈을 구하고 재산을 팔고 있다""고 호소했습니다. A씨는 최후 진술에서 ""저 때문에 피해 본 분들께 죄송하다. 사과할 기회가 주어진다면 바로 무릎 꿇고 사죄드리겠다. 술 때문에 생긴 일인 만큼 앞으로 술은 쳐다보지도 않고 열심히 살겠다""고 말했습니다.선고 공판은 다음 달 25일 열릴 예정입니다."
society,"90억대 사기범, 재판 날 전자팔찌 끊고 도주..68일만에 붙잡혀",https://v.daum.net/v/20231215100327180,https://img1.daumcdn.net/thumb/S95x77ht.u/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fnews%2F202312%2F15%2Ffnnewsi%2F20231215100327503bxfb.jpg&scode=media,10:03,"14일 법조계에 따르면 수원지검 평택지청은 전날 오전 11시30분께 충북의 한 숙박업소에서 40대 남성 A씨를 붙잡았다고 밝혔다. A씨는 특정경제범죄 가중처벌 등에 관한 법률 위반(사기) 재판 선고 기일이었던 지난 10월6일 전자팔찌를 끊고 도주했다. 보호관찰소는 즉시 검찰에 연락했고, 검찰은 A씨에 대해 출국금지 조치를 내렸다. 법원도 A씨에 대한 보석허가를 취소했다. A씨는 지난 2016~2017년 피해자 B씨를 상대로 자신이 운영하는 중고기계 매매 사업에 투자하면 수익을 주겠다고 속여 91억원을 가로챈 혐의로 기소됐다. 그는 지난해 1월 구속기소 됐다가 보석신청을 제기했다. 이후 법원은 같은 해 2월9일 전자팔찌 착용 조건 등으로 A씨를 석방했다. 2020년 8월부터 도입된 법무부의 '전자장치부착 조건부 보석' 제도에 따르면 구속기소 된 피고인 가운데 보석 신청으로 법원의 허가를 받고 석방된 미결수용자는 손목시계형 장치인 전자팔찌를 부착한다. 전자팔찌는 전자발찌와 기능이 유사한 것으로 알려졌다. "
society,"박지성, 국민의힘 영입설에 폭소… “그럴 일 없다”",https://v.daum.net/v/20231215100309172,https://img1.daumcdn.net/thumb/S95x77ht.u/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fnews%2F202312%2F15%2Fkukminilbo%2F20231215100310599jyjl.jpg&scode=media,10:03,"축구선수 출신 박지성(42)씨가 ‘국민의힘 영입설’에 대해 “그럴 일은 없다”며 입장을 밝혔다.박지성 전북 현대 테크니컬 디렉터는 지난 14일 수원월드컵경기장에서 열린 ‘제12회 JS파운데이션 재능 학생 후원금 전달식’ 직후 진행된 인터뷰에서 국민의힘 인재 영입 후보에 이름이 올랐다는 질문을 듣고 “나도 기사를 보고 알았다”고 말했다.박 디렉터는 “아직 그런 곳(정치)에 뜻이 전혀 없다. 더구나 지금 거주지가 한국이 아니라 일 때문에 들어오는 상황에서 그런 얘기가 나왔다는 자체에 좀 놀랐다”며 “그런 일은 일어날 일이 없을 거라고 개인적으로 생각하고 있다”고 했다.관련 질문이 계속해서 나오자 그는 “정치인이 된다는 생각이나 상상을 해본 적도 없었고, 그런 상상을 할 필요를 전혀 느끼지 못하고 있다”며 “앞으로 제게 제의를 안 해주셨으면 좋겠다”고 웃으며 말했다.앞서 한 매체는 국민의힘이 내년 4월 총선을 겨냥해 박 디렉터를 영입하는 방안을 검토하고 있다고 보도했다. ‘수원 토박이’인 그를 수원 지역구에 전략공천하려 한다는 것이다.이에 대해 국민의힘 인재영입위원회는 “어떤 인재를 영입하면 좋을지 자유로운 의견 개진이 된 정도일 뿐”이라고 했다.1981년생 박지성은 서울 출생이지만 경기 수원에서 학창 시절을 보냈다. 박지성은 수원 공고를 졸업 후 명지대로 진학했다.김지훈 기자 germany@kmib.co.kr"
society,남성에게 전신 마사지 받던 여성 ‘특정 신체 등 강제추행’ 피해…가해男은 ‘집유’,https://v.daum.net/v/20231215100205154,https://img1.daumcdn.net/thumb/S95x77ht.u/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fnews%2F202312%2F15%2Fsegye%2F20231215100205299mmeb.jpg&scode=media,10:02,옷을 탈의해야하는 시술의 특성 탓에 이같은 피해가 발생한 거로 보인다.실제 사장 A씨는 여성 손님의 몸을 보고 “예쁘다” 등의 말을 했다고 한다.14일 법조계에 따르면 서울중앙지법 형사20단독 서수정 판사는 강제추행 혐의로 재판에 넘겨진 A씨에게 징역 10개월에 집행유예 2년을 선고했다.또 성폭력 치료강의 80시간 수강을 명령했다.A씨는 지난해 12월 서울 강남구에 있는 자신의 마사지숍에서 마사지 받던 손님을 강제추행한 혐의를 받는다.그는 피해자를 상대로 전신 마사지를 하던 도중 “몸매가 너무 예쁘다”고 말하면서 양손으로 피해자의 사타구니와 음부를 여러차례 추행했고 가슴을 강제로 만지기도 했다.재판부는 “A씨가 피해자와 배상을 합의했고 벌금형보다 무거운 전과가 없는 점 등을 참작했다”고 양형 이유를 설명했다.
society,부산서 11m 길이 대형 '참고래' 사체 발견,https://v.daum.net/v/20231215100202151,https://img1.daumcdn.net/thumb/S95x77ht.u/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fnews%2F202312%2F15%2Fkukinews%2F20231215100204214ahpl.jpg&scode=media,10:02,부산에서 길이 11m 대형 참고래 사체가 발견됐다.14일 남해해양경찰청에 따르면 부산 기장군 이동항 근처 해상에서 오전 11시 45분 길이 11m의 고래 사체가 발견됐다.확인 결과 고래 종류는 보호종인 '참고래'로 파악됐으며 발견 당시 고래 사체는 어장에 걸려있던 것으로 알려졌다. 육안상으로 외상은 없었다.해경은 고래 사체를 폐기 처분하거나 연구원 등에 기증할 방침이다. 
society,"조국, 영화관 설치된 '두더지 게임'에 ""내 제안 받았나?^^""",https://v.daum.net/v/20231215100202149,https://img1.daumcdn.net/thumb/S95x77ht.u/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fnews%2F202312%2F15%2Fkbc%2F20231215100204571erzh.png&scode=media,10:02,"사진 속 오락기기는 '두더지 잡기'로 전두환 전 대통령의 12.12 사건을 소재로 한 영화 '서울의 봄' 상영관 앞에 설치돼 있었습니다. 조 전 장관은 이 사진을 공유하며 ""이 영화관이 일전 저의 공개 제안을 받은 것인가요?^^""라며 기쁨을 감추지 못했습니다. 사진 속 '서울의 봄' 포스터 아래에는 '과몰입 스트레스, 무료로 잡고 가세요'라는 멘트가 적혀 있었습니다. 또, '기회는 한 번씩, 순서를 지켜 1번씩 사용해 주세요', '스트레스는 오직 두더지에게만, 두더지 외에 다른 것을 때리면 안 돼요', '빨간 버튼을 누르면 게임이 바로 시작됩니다'라고 안내했습니다. 이는 두더지를 망치로 때리며 영화로 인한 스트레스를 풀라는 취지로 풀이됩니다.앞서 전두환 씨 사자 명예훼손 혐의 재판이 열린 지난 2020년 4월 27일 광주지법 정문 앞에서 5·18 유족들이 일명 '전두환 치욕 동상'을 뿅망치로 때렸던 전례를 떠올리게 합니다. 앞서 조 전 장관은 지난 10일 ""서울의 봄 회사(제작사, 배급사, 영화관 체인 등) 측에 건의한다. 영화를 보고 나온 관객을 위해 영화관 출구에 '전두광' 얼굴이 새겨져 있는 펀치볼을 설치해 주시라""고 요구한 바 있습니다.지난 11월 22일 개봉한 '서울의 봄'은 지난 13일 누적 관객수 755만 1,283명을 돌파하며 박스오피스 1위를 기록하고 있습니다. "
society,제주 바다 평화롭게 유영하는 멸종위기 푸른바다거북 확인,https://v.daum.net/v/20231215100141140,https://img1.daumcdn.net/thumb/S95x77ht.u/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fnews%2F202312%2F15%2Fyonhap%2F20231215100146039gmat.jpg&scode=media,10:01,"(서귀포=연합뉴스) 고성식 기자 = 남방큰돌고래와 같이 제주 바다에 살지만, 상대적으로 보기 힘든 푸른바다거북이 헤엄치는 모습이 카메라에 포착됐다. 15일 제주자연의벗에 따르면 스쿠버단체인 '물고기반'은 지난 10일 서귀포시 섶섬 인근 바닷속에서 국제 멸종위기종으로 보호되는 푸른바다거북이 유영하는 모습을 수중 카메라로 촬영했다.푸른바다거북을 촬영한 물고기반의 박충훈 강사는 ""수중 촬영 장비를 챙기고 섶섬 인근 바닷속으로 들어갔는데, 푸른바다거북이 물고기 사이를 유유히 헤엄쳐 가는 모습이 우연히 눈에 들어왔다""며 ""다른 물고기와 어울려 여유롭게 바닷속을 헤엄치는 모습이 평화로워 보였다""고 말했다. 박 강사는 해마다 400∼500차례 서귀포시 섶섬·문섬·범섬 인근 바다에서 전문적으로 스쿠버다이빙을 하고 있다.박 강사는 ""스쿠버다이빙하다 보면 1년에 5∼6차례 정도 푸른바다거북을 보게 된다""며 ""하지만 이같이 가까이서 마주해 촬영하는 일은 드문 경험""이라고 말했다. 제주자연의벗에 의하면 바다거북 산란 흔적은 1998년부터 2007년까지 중문색달해수욕장 모래사장에서 단 4차례 발견된 바 있다. 하지만 2007년 이후부터는 산란 흔적이 발견되지 않고 있다. 해녀들이 바다에서 물질 중 바다거북을 가끔 봤다는 목격담이 있고 해경 등에 의해 육상에서 사체가 발견된 적도 있지만, 실제로 살아있는 푸른바다거북의 모습은 좀처럼 보기 힘들었다.양수남 제주자연의벗 사무처장은 ""남방큰돌고래는 수면 위로 모습을 드러내 사람들의 관심을 끌기에 수월한 편이나 푸른바다거북은 수면 위로 모습을 잘 드러내지 않아 바다거북이 실제 서식하는지 파악하기 힘들다""고 말했다. 또 최근 서식지 훼손과 환경오염 등으로 바다거북의 개체 수도 크게 줄고 있다. 바다거북의 산란 시기인 여름철 주 산란지인 중문색달해변에 많은 피서객이 밤낮으로 몰려들면서 산란지가 훼손된다는 지적도 많다.바다거북은 국제 멸종위기종으로 보호되고 있다. 우리나라에는 바다거북 5종(붉은바다거북, 푸른바다거북, 장수거북, 매부리바다거북, 올리브바다거북)이 서식하고 있다. 바다거북은 지구온난화, 해양오염과 개발, 쓰레기 문제에 민감해 개체 수 변화에 따라 환경 훼손 정도를 파악할 수 있는 환경지표 종으로 꼽힌다. 양 사무처장은 ""국가적으로 보호에 나서고 있는 남방큰돌고래 못지않게 중요한 바다거북에 대한 인식과 보호 의식이 확산했으면 한다""고 말했다. koss@yna.co.kr"
society,서해안고속도로에서 차 4대 빗길 추돌...6명 부상,https://v.daum.net/v/20231215100131136,https://img1.daumcdn.net/thumb/S95x77ht.u/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fnews%2F202312%2F15%2FYTN%2F20231215100132842ghxg.jpg&scode=media,10:01,오늘(15일) 오전 7시 반쯤 서해안고속도로 서울 방향 무창포 졸음 쉼터 인근에서 차 4대가 잇따라 부딪쳤습니다. 이 사고로 6명이 다쳐 병원으로 옮겨졌습니다. 고속도로순찰대는 승용차가 빗길에 미끄러져 중앙분리대를 들이받아 정차해 있는 것을 피하지 못해 사고가 난 것으로 보고 있습니다. YTN 이상곤 (sklee1@ytn.co.kr)※ '당신의 제보가 뉴스가 됩니다' [카카오톡] YTN 검색해 채널 추가 [전화] 02-398-8585 [메일] social@ytn.co.kr
