title,detail,category,link,img,create_dt,write_dt
“퇴실하라”는 모텔 女직원 목 조른 80대男…“단순폭행이라니” 피해자 분통,"
             
            한 모텔 여성 직원이 일면식도 없는 80대 투숙객에게 목을 졸리는 등 폭행당한 뒤 생계에 지장이 있다며 고통을 호소하고 있다.
           3일 경찰과 KBS 등에 따르면 경기도 의정부의 한 숙박업소에서 카운터 직원을 폭행한 혐의로 80대 남성 A씨가 불구속 송치됐다. 이후 사건을 넘겨받은 검찰은 최근 A씨를 벌금형으로 약식기소했다. A씨는 지난해 10월 경기도 의정부시의 한 모텔에서 투숙을 하다 “퇴실하거나 추가 요금을 내라”는 30대 여성 직원 B씨의 말에 이를 거부하며 폭행을 한 혐의를 받는다. 당시 현장이 담긴 폐쇄회로(CC)TV 영상을 보면 A씨는 객실 문 앞에서 기다리고 있던 B씨와 실랑이를 벌이다 그에게 다가갔다. 이때 B씨가 중심을 잃고 쓰러지자 A씨는 순식간에 몸 위로 올라타 목을 조르기 시작했다. 손으로 얼굴을 바닥에 누르는 행위가 계속되자 B씨가 소리를 질렀고, A씨는 손으로 입을 막더니 주머니에서 무언가를 꺼내 B씨의 입 안으로 집어넣는 모습도 담겼다. A씨는 “살려 달라”는 B씨의 외침을 듣고 나온 옆방 투숙객이 제지하고 나서야 폭행을 멈췄다. 당시 B씨는 퇴실 시간이 지난도 A씨가 열쇠를 반납하지 않고 나오지 않자 직접 안내를 위해 갔다 폭행당한 것으로 파악됐다. A씨는 “퇴실한다고 했고 1시 다 됐으니까 나오셔야 한다”는 직원 안내에 “못 나간다”고 답했고, “더 사용할 거면 추가 요금을 내셔야 한다”는 말에 “내가 돈을 왜 내냐”며 돈을 냈다고 우겼다고 한다. 사건 당일 현장에 출동한 경찰은 A씨를 임의동행했고 이후 우발적 범행으로 판단, 폭행 혐의로 불구속 송치했다. 경찰 관계자는 KBS에 “노인이 객실에 좀 더 있다 가려고 하는데 추가 요금이 필요하다고 안내하는 직원 사이에서 시비가 붙었다. 당시 노인이 정신적으로 문제가 있거나 술에 취한 상태는 아닌 것으로 파악했다”며 “시비에서 비롯된 80대 고령 노인의 우발적 범행이라 구속영장을 신청할 사안은 아니었다. 상해가 중하거나 큰 피해 사실이 있는 것은 아니어서 노인을 불구속 송치했다”고 밝혔다. 이에 피해자 B씨는 “사건 직후 경찰이 ‘그냥 목을 졸렸다는 이유만으로 살인 미수가 되지는 않는다. 단순 폭행이다. 상해로 변경이 되려면 지속적으로 치료를 받아야 인정이 된다’고 했다”며 “법을 잘 모르는 일반인 피해자가 직접 모든 걸 다 알아봐야 하는 상황이 힘들었다. 수사 결과를 바꿀 수 없다는 걸 알기에 아쉽다”고 토로했다. 이어 “생계유지를 위해 당장 일을 그만둘 수도 없는 상황에서 이 일이 무서워졌다. 지켜야 할 아이들이 있어 못 그만두는데 지금도 그런 할아버지들, 비슷한 연령대 분들이 오시면 숨게 된다”며 “비용 부담을 감수하고서라도 민사소송까지 제기해볼 계획”이라고 덧붙였다. 김수연 기자 sooya@segye.com ",사회,https://v.daum.net/v/20240104005242583,https://t1.daumcdn.net/news/202401/04/segye/20240104005243018kzup.gif,2024-01-04 00:54:42.842678,2024-01-04 00:52:00
"경기도일자리재단, 출산 장려 ‘0.5잡’ ‘0.75잡’ 도입?","경기도일자리재단이 청년층의 결혼 및 출산을 장려하기 위한 가족친화 정책의 일환으로 ‘0.5잡(job)’ ‘0.75잡’ 도입을 검토하고 있어 주목되고 있다. 경기도일자리재단은 전날 부천 주사무소 대강당에서 임직원이 참석한 가운데 ‘2024년 갑진년 시무식’을 개최했다고 3일 밝혔다. 이 자리에서 더 나은 재단으로 도약 다짐과 함께 청년층의 결혼 및 출산을 장려하기 위한 가족친화 정책 도입 계획이 소개된 것. 윤덕룡 재단 대표는 신년 계획에 대해 “조직 발전과 더불어 조직 구성원 개인의 역량 강화”을 강조하며 “조직 차원에서도 일하고 싶은 직장을 만들어 가는데 힘을 쏟겠다”고 말했다. 윤 대표는 직원들의 근무환경과 조직문화 개선을 위해 보수, 직원 복지 등 그 밖의 처우 개선과 비효율적인 재단의 제도개선을 위해 지속적 관심을 갖고 추진하겠다고 도 했다. 이와 함께 윤 대표는 ‘일자리 창출 최고의 기관’으로써 청년층의 결혼 및 출산을 장려하기 위한 가족친화 정책 도입 계획을 소개하며, 새로운 근무제도로 출산, 육아 등의 사유로 근로시간의 유연성을 갖추기 위한 ‘0.5잡(job)’ 또는 ‘0.75잡’을 도입 검토 예정을 알렸다. 그러면서 윤 대표는 취임사에서 강조한 “일자리는 도민의 꿈과 생명을 살리는 일”임을 재차 강조하며 그런 직업적 소명을 가진 재단 직원들에 대해 자부심을 가질 것을 당부했다. 부천=강희청 기자 kanghc@kmib.co.kr GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지 ",사회,https://v.daum.net/v/20240104005018579,https://img1.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202401/04/kukminilbo/20240104005019651fknf.jpg,2024-01-04 00:54:42.969464,2024-01-04 00:50:00
이부진 사장의 ‘평범한 엄마’ 모습 포착…“아들과 즐거운 시간”,"
            아들의 초등학교, 중학교 졸업식에 참석해 '평범한 엄마'의 모습을 보여준 호텔신라 이부진 사장이 이번엔 아들과 함께 농구 경기를 즐겼다.
           최근 국내 여러 온라인 커뮤니티에는 이 사장이 아들 임군과 함께 농구 경기를 관전하는 모습이 갈무리돼 올라왔다. 이날 미국 캘리포니아주 로스앤젤레스 크립토닷컴 아레나에서는 2023-2024시즌 NBA 정규리그 LA 클리퍼스와 마이애미 히트 경기가 열렸다. 이 사장과 임군 모자는 골대가 있는 구역에서도 가장 앞줄에 앉아 경기를 관람했다. 이날 이 사장은 흰색 목폴라에 흰색 재킷을 입었고, 아들 임군은 회색 후드티를 착용했다. 두 사람은 경기를 보고 웃으며 대화를 나눴고, 이 사장은 마이애미 히트의 뱀 아데바요 선수가 골 넣는 장면을 직접 휴대전화로 촬영하기도 했다. 이때 임군은 누군가로부터 음식물을 건네받았다. 김현주 기자 hjk@segye.com ",사회,https://v.daum.net/v/20240104004217559,https://img2.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202401/04/segye/20240104004217694dizi.png,2024-01-04 00:54:43.090667,2024-01-04 00:42:00
"“넌 내가 꼭 죽인다” 배달음식 식었다고 살해 협박한 손님, 결국...","배달음식이 식어서 왔다는 이유로 사장을 “죽이겠다”고 협박한 손님의 사연이 전해졌다. 사장이 협박 녹취 파일을 토대로 고소를 예고하자, 손님은 그제야 사과한 것으로 알려졌다. 이 같은 사연이 전해진 건 지난 2일 식당 주인 A씨가 자영업자 커뮤니티 ‘아프니까 사장이다’에 ‘장사에 참 회의감 들 때’라는 제목으로 글을 올리면서 알려지게 됐다. A씨에 따르면 지난 1일 오전 2시 30분쯤 한 손님이 배달앱을 통해 음식과 술을 주문했다. A씨는 즉시 조리를 시작했고, 약 30분만에 배달을 마쳤다고 한다. 문제는 주문 약 두시간 뒤인 오전 4시 30분쯤 시작됐다. 해당 손님이 “음식이 식었다”며 A씨에게 항의 전화를 건 것이다. A씨가 풀어 쓴 녹취록에 따르면 손님은 다짜고짜 “음식이 쳐 식었는데도 맛있다” “음식이 쳐 식어도 잘 쳐 먹었다” 등 거친 발언을 쏟아냈다. A씨가 “죄송하다. 어떻게 해 드리면 좋겠냐” “많이 불편하셨다면 환불 처리 해드리겠다”며 방안을 제시하자, “이미 배때기에 다 쳐 들어갔는데 뭐 어쩌냐”며 조롱했다. 이에 A씨는 “비꼬지 마시라. 고객센터 통해서 연락하라”며 전화를 끊었다. 손님은 다시 전화를 걸었고, 이때부터 협박을 가했다. “XX놈이 전화를 처 끊고 XX이야. 죽여버린다” “내 배 속은 쓰레기통이냐 XX놈아” 등이다. A씨가 재차 전화를 끊자, 이번에는 배달앱 리뷰를 통해 협박을 이어갔다. “넌 내가 칼로 찔러 죽인다”는 내용이었다. 결국 A씨는 통화 녹취와 리뷰 캡처 사진을 들고 지구대로 향했고, 끝까지 잘못한 게 없다며 버티던 손님은 고소 의사를 전한 뒤에야 사과했다. A씨는 “그제서야 손님이 무릎꿇고 울며 사과했다”며 “경찰들도 좋게 해결하라 권유하길래, 맘같아서는 끝까지 가고 싶었지만 젊은 사람이라 봐줬다”고 했다. 이어 “15살은 어려 보이는 조카뻘에게 이런 소리 들으니까 장사에 회의감이 엄청 들더라”고 했다. 한편 협박죄는 3년 이하 징역 또는 500만원 이하 벌금형, 특수협박죄는 7년 이하 징역 또는 1000만원 이하의 벌금형에 처할 수 있는 중범죄다. 이에 따라 온라인상에서는 A씨 사연을 두고 “왜 봐주냐” “다른 곳에서 또 똑같은 행동할 수 있다” “저런 사람은 진짜 고소 당해봐야 정신 차린다” 등의 반응이 나왔다. ",사회,https://v.daum.net/v/20240104004053554,https://img4.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202401/04/chosun/20240104004056658kdic.jpg,2024-01-04 00:54:43.232277,2024-01-04 00:40:00
"“클수록 나와 안 닮은 첫째, 친자 검사해보니…”","아내와 합의 이혼 후 첫째 아이가 친자가 아니라는 사실을 알게 된 남편의 사연이 전해졌다. 3일 YTN 라디오 ‘조인섭 변호사의 상담소’에는 아이가 친자식이 아닌 사실을 알게 된 후 손해배상 청구를 할 수 있는 지에 대한 고민을 털어놓은 A씨의 사연이 올라왔다. A씨에 따르면 아내와 2000년쯤 처음 만나 동거를 했고 성격이 맞지 않아 1년 뒤에 헤어졌다. 그는 “이별 후 전할 물건이 있어서 크리스마스에 만났는데, 하룻밤을 함께 보내고 말았다”고 말했다. 얼마 지나지 않아 아내는 임신을 했다고 알려왔고, A씨는 아내와 성격이 맞지 않았지만 아이에 대한 책임감으로 결혼을 결심했다. 결혼 후 둘째와 셋째까지 낳은 A씨는 한국과 미국을 오가며 사업에 몰두해 사업을 크게 성장시켰다. 그러나 아내와의 성격 차이는 좁힐 수 없없고, 결국 2015년 이혼을 택했다. 이후 미국에 있는 재산과 A씨가 벌어들인 수입에 대해 재산분할을 해 자녀들의 양육비에 대해서도 합의했다. 그런데 A씨는 이혼 후 면접교섭을 통해 중학생이 된 첫째 아이를 만날 때마다 자신을 닮지 않은 외모에 의문을 품게 됐다고 한다. 이에 혹시나 하는 마음에 친자 검사를 의뢰하니 충격적이게도 친자식이 아니라는 결과를 받게 됐다. 전 부인에게 따졌지만, 부인은 뻔뻔한 태도로 일관했다. A씨는 “공황장애를 앓고 우울증을 겪었다”며 “아내에게 손해배상 청구를 하고 호적도 정리하고 싶다”고 밝혔다. 사연을 들은 김언지 변호사는 “친생부인의 소를 제기해 첫째 아이가 A씨의 친자임을 부인하는 내용의 판결을 선고받을 수 있다”며 “그 후 A씨의 가족관계등록부상 첫째 아이가 ‘자’로 된 등록을 말소할 수 있다”고 설명했다. 이어 “상대방은 실제로는 첫째 아이가 A씨의 친생자가 아님에도, 사연자에게 마치 첫째 아이가 사연자의 아이인 것처럼 속였다”며 “첫째 아이가 A씨의 자식이라는 사유는 사연자가 상대방과 혼인 의사를 결정하는 데 매우 중요한 요소였기 때문에 민법상 소정의 혼인 취소 사유에 해당한다. 사연자는 친자가 아니라는 사실을 안 날로부터 3개월 이내에 혼인 취소 청구할 수 있다”고 덧붙였다. 또 이미 이혼한 상태인 A씨의 경우에 대해서는 “상대방과 이미 이혼한 상태이므로 심한 정신적 고통에 대한 손해배상으로 위자료를 청구할 수 있다”고 말했다. 재산분할에 대해서 김 변호사는 “이혼 합의 당시 친자 불일치 사실을 모른 채 합의했고, 이후 친자가 아니라는 중대한 사실을 알게 됐다면 양육비에 관련해서는 앞으로 합의에 근거해 지급할 의무를 부담하지 않을 것”이라고 답했다. 이어 “첫째 아이 양육비 명목으로 지급한 돈은 부당이득으로 반환 청구가 가능하다”면서 “혼인 기간 중 쓴 양육비도 지출을 특정할 수 있다면 부당이득 반환이 가능하다”고 전했다. 김채현 기자 ",사회,https://v.daum.net/v/20240104003902548,https://img3.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202401/04/seoul/20240104003904937tjwu.png,2024-01-04 00:54:43.367796,2024-01-04 00:39:00
"""푸바오 동생들이 떴다""...쌍둥이 아기 판다의 첫 나들이","[앵커]  인기 판다 푸바오의 쌍둥이 동생들이 첫 야외 나들이를 나왔습니다.  생후 6개월 된 쌍둥이들은 그동안 방 안에서 지내며 SNS로만 모습이 공개됐었는데요.  오늘부터는 실물로 직접 만날 수 있습니다.  임예진 기자가 보도합니다.  [기자]  쌍둥이 아기 판다 루이바오와 후이바오가 조심스럽게 문 앞을 서성이다 벽을 긁습니다.  처음 만나는 낯선 세상에 바짝 긴장한 모습입니다.  보다 못한 '판다 할아버지'가 번쩍 들어 야외 사육장 한가운데 데려다 줬더니 용기 내 걸음을 떼 봅니다.  엄마 곁에 가자 마음이 놓였는지 제 키보다 높은 탁상에 오르려 안간힘을 쓰고,  외나무 위에서 몸을 이리저리 굴려보며 중심을 잡아보기도 합니다.  솜뭉치를 연상케 하는 이들은 인기 스타 푸바오의 세 살 터울 동생들입니다.  루이바오와 후이바오는 지난 해 7월 한국에서 자연 번식으로 태어난 국내 첫 쌍둥이 판다 자매입니다.  지난해 10월 70만 명의 참여로 '슬기로운 보물'과 '빛나는 보물'이라는 뜻의 멋진 이름도 얻었습니다.  [강철원 / 사육사 : (태어난 지) 180일 되는 날이고, 지금 이제 엄마 젖을 먹고 걸음걸이를 하고 엄마를 따라 잘 다닐 수 있을 정도로 성장했어요. 둘이 의지하고 활동하는 게 있어서 엄마가 조금 더 안심하고 먹이를 안정적으로 잘 먹고 있어요.]  그동안 실내 분만실에서 지내던 쌍둥이들이 본격적인 바깥 나들이에 나섭니다.  지금까지는 온라인 화면 속에서만 만날 수 있었는데 이젠 일반인들도 두 눈으로 직접 볼 수 있게 된 겁니다.  관람객들도 귀여운 막내들을 볼 수 있다는 생각에 기대가 큽니다.  [이다은·이찬혁 / 경기 안산시 : 우선 귀여워서 좋아하고요. 대나무 뜯는 모습도 되게 사람 같고 뭔가 친근한 느낌이에요. 인터넷에서 이름 투표할 때도 직접 루이·후이로 했는데 이름이 그걸로 돼서 실물은 꼭 보러 올 예정입니다.]  에버랜드는 조만간 푸바오 세 자매를 포함한 다섯 판다 가족을 동시에 만나 볼 수 있는 행사도 마련한다는 계획입니다.  YTN 임예진입니다.  촬영기자; 이영재  YTN 임예진 (imyj77@ytn.co.kr) ※ '당신의 제보가 뉴스가 됩니다'  [카카오톡] YTN 검색해 채널 추가  [전화] 02-398-8585  [메일] social@ytn.co.kr [저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지] ",사회,https://v.daum.net/v/20240104003408539,https://t1.daumcdn.net/news/202401/04/YTN/20240104003409417osoa.jpg,2024-01-04 00:54:43.562148,2024-01-04 00:34:00
"'이재명 급습' 피의자, 오늘 구속영장 실질심사","더불어민주당 이재명 대표를 흉기로 찌른 60대 피의자 김 모씨에 대한 구속 전 피의자 심문 절차가 오늘(4일) 낮 2시에 열립니다. 부산지검 특별수사팀은 어젯밤 11시쯤, 경찰의 영장 신청 3시간 반만에 김 씨에 대한 구속영장을 법원에 청구했습니다. 검찰 관계자는 ""경찰의 구속영장 신청서와 수사 기록을 면밀히 검토한 결과, 살인미수 범죄의 중대성, 도망 및 증거인멸의 염려 등 구속 사유가 인정돼 부산지법에 구속영장을 청구했다""고 설명했습니다. 검찰은 ""경찰과 긴밀히 협력해 범행동기 등 사건의 진상을 철저하게 규명하고 엄정하게 처리할 것""이라고 밝혔습니다. 신수아 기자(newsua@mbc.co.kr) 기사 원문 - https://imnews.imbc.com/news/2024/society/article/6559110_36438.html [저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지] ",사회,https://v.daum.net/v/20240104003408538,https://img3.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202401/04/imbc/20240104003408409kjzv.jpg,2024-01-04 00:54:43.691460,2024-01-04 00:34:00
"8살 딸 건드려 징역 산 아빠…출소 후 ""여자로 보여"" 또 몹쓸짓"," 어린 친딸에게 성범죄를 저질러 징역살이를 하고도 또다시 딸에게 몹쓸짓을 한 40대 아빠가 징역 15년을 선고받았다.  3일 법조계에 따르면 대구지법 형사12부(부장 어재원)는 성폭력 범죄의 처벌 등에 관한 특례법 위반(친족관계에의한준강간) 등 혐의로 구속기소 된 A씨에게 징역 15년을 선고했다.  이와 함께 성폭력 치료 프로그램 120시간 이수와 위치추적 전자장치 부착 20년, 아동·청소년 및 장애인 관련 기관 취업제한 10년을 명령했다.  A씨는 딸이 8살이던 2016년부터 2017년까지 유사 성행위 등 성범죄를 저지른 혐의로 재판에 넘겨져 징역 3년 6개월을 선고받았다.  당시 재판부는 딸이 아버지의 선처를 탄원한 점과 아내의 가출로 A씨 외에는 딸을 돌봐줄 사람이 없는 점 등을 참작해 가장 낮은 형을 선고했다.  그러나 A씨는 2022년 1월 출소한 뒤 쉼터에서 지내던 딸을 설득해 다시 집으로 데려왔고, 지난해 2월부터 딸을 다시 손대기 시작했다.  A씨는 딸을 준강간한 것도 모자라 딸의 방과 화장실에 카메라를 몰래 설치해 나체와 사생활을 몰래 훔쳐봤다.  A씨는 ""네가 여자로 보인다""며 딸이 이성 친구를 만나는 것을 막는 등 집착까지 했다.  견디다 못한 딸이 집을 나가자 A씨는 ""연락하지 않으면 주변 사람들을 해코지하겠다"", ""극단적 선택을 하겠다""며 협박 메시지를 보내기도 했다.  재판부는 ""미성년자인 딸이 입에 담기도 어려울 만큼 불행한 일을 겪어야 했던 고통을 헤아려보면 A씨에게 죄책에 상응하는 처벌이 필요하다""고 양형 이유를 밝혔다.  김은빈 기자 kim.eunbin@joongang.co.kr ",사회,https://v.daum.net/v/20240104003107524,https://img4.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202401/04/joongang/20240104003107553uxbm.jpg,2024-01-04 00:54:43.822539,2024-01-04 00:31:00
'손수교체' 내세운 손수조 리더스클럽 대표...동두천·연천 예비후보 등록,"[파이낸셜뉴스 동두천·연천=노진균 기자] 손수조 리더스클럽 대표가 3일 제22대 국회의원 선거 동두천·연천 예비후보로 등록을 마무리했다고 4일 밝혔다.  이날 손수조 예비후보는 등록과 함께 ""동두천시와 연천군의 발전을 위해 선수교체가 필요하다""며 ""저 손수조로 선수를 교체해 주시면 승부 근성과 추진력을 가지고 어떠한 도전도 마다하지 않는 '깡수조'가 되겠다""면서 본격적인 선거운동 시작을 알렸다.  손 예비후보는 '손수교체'를 슬로건으로 내세웠다. 그의 이름과 나라를 위해 일할 '선수'를 동두천, 연천 주민이 '손수' 교체한다는 의미가 담겨 있다.  손 예비후보는 ""지역의 반등을 위해서는 선수를 교체하고 인물론으로 승부해야 한다. 동두천, 연천뿐만이 아닌 대한민국의 미래를 위한 선수교체가 필요한 시점""이라며 ""국회의원의 특권 내려놓기가 필요하다. 선민후사의 정신으로 특권이 아닌 시민의 권익 보호에 앞장서는 손수조가 되겠다""고 강조했다.  손수조 예비후보는 이화여자대학교 국어국문학과를 졸업하고 지난 제19대 총선과 제20대 총선에서 새누리당 국회의원 후보로 출마했다.  특히, 제19대 총선에서는 박근혜 새누리당 비대위원장의 '자객공천'으로 당시 민주통합당 상임고문인 문재인과 27세의 나이로 경쟁했다.  이후 새누리당 제1기 미래세대 위원장, 박근혜 전 대통령 인수위원회 위원, 대통령 직속 청년위원회 복지통일분과 위원장을 역임한 바 있으며, 장례지도사로 활동하며 경기 북부 지역에 정착한 후에도 사회연구기관 '리더스클럽'을 이끌며 청년 정치인들을 조직하고 본격적인 정치 활동을 전개하고 있다. ",사회,https://v.daum.net/v/20240104002940512,https://img4.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202401/04/fnnewsi/20240104002940217iamw.jpg,2024-01-04 00:54:43.948650,2024-01-04 00:29:00
칼 자루 빼 흉기 개조…범행 하루 전 ‘평산마을 인근’ 울산역도 갔다,"지난 2일 부산시 강서구 대항전망대에서 이재명 더불어민주당 대표를 습격한 김모(67)씨는 개조한 흉기로 범행을 저지른 것으로 파악됐다. 경찰은 범행 하루 전날 김씨가 부산역과 울산역을 방문한 행적도 확인했다. 울산역은 문재인 전 대통령이 있는 양산시 평산마을과 가깝다. 사건 당일 이 대표는 대항전망대를 방문한 뒤 문 전 대통령을 예방할 계획이었던 만큼 경찰은 김씨가 ‘사전답사’를 위해 부산과 울산을 방문한 건 아닌지 의심하고 있다.  부산경찰청 수사본부는 3일 브리핑을 열고 “김씨가 범행에 사용한 흉기는 길이 18㎝(날 13㎝)의 등산용 칼”이라고 설명했다. 경찰 관계자는 “김씨는 칼자루를 빼고 테이프로 감았고, 칼날은 A4 용지 등으로 감싼 뒤 이 대표를 습격하는 데 사용했다”며 “범행 편의를 위해 흉기를 개조한 것으로 보인다”고 했다.  본래 칼자루를 포함한 흉기 길이는 정확히 확인되지 않았지만, 상의 주머니에 쉽게 넣고 빼기 위해 흉기를 변형한 것으로 보인다고 경찰은 전했다.  또 김씨는 추가로 다른 흉기는 소지하지 않았으며, 김씨의 정신병력 등은 현재까지 확인되지 않은 것으로 파악됐다. 경찰은 3일 김씨에 대해 살인미수 혐의를 적용해 구속영장을 신청했다.  김씨 행적도 드러나고 있다. 경찰은 김씨가 지난 1일 오전 KTX를 타고 주거지인 충남 아산에서 부산으로 왔다고 밝혔다. 김씨는 이날 다시 부산역에서 KTX를 타고 울산역에 갔다가, 부산으로 돌아와 이튿날인 2일 가덕도로 향했다. 김씨는 지난달 부산 전세사기 피해자 간담회장을 찾는 등 이전에도 이 대표가 참석하는 행사를 따라다녔다는 주장이 제기되고 있다. 경찰 관계자는 “정확한 동선과 방문 목적 등을 확인하고 있다”고 밝혔다.  경찰은 이날 오후 1시30분부터 2시간 동안 수사관 25명을 투입해 김씨가 운영해 온 충남 아산시 소재 부동산중개업소와 자택, 자동차 등을 압수수색해 PC와 노트북, 칼갈이 등을 압수했다. 혐의 입증을 위해 김씨 휴대전화 디지털 포렌식도 진행하고 있다. 중앙일보 취재를 종합하면 2001년 서울 영등포구청에서 명예퇴직한 김씨는 현재 부동산 사무실 월세가 5~6개월 밀린 상태라고 한다.  또한 김씨의 당적에 대한 논란이 확산하는 가운데 경찰은 김씨의 당적 확인을 위해 강제 수사에 들어갔다. 부산경찰청 수사본부는 3일 법원으로부터 영장을 발부받은 뒤 국민의힘과 더불어민주당 중앙당사에 수사관을 보내 압수수색했다. 경찰은 여야 정당 중앙당 관계자의 협조를 받아 당원명부에 김씨가 있는지를 조사 중인 것으로 확인됐다. 현행 정당법에서는 범죄 수사를 위해 당원명부를 조사할 수 있는데 법원 영장이 있어야 한다고 규정하고 있다. 경찰은 피해자가 제1야당 대표인 만큼 범행 동기를 밝히는 데 피의자 당적을 중요한 고려사항으로 보고 있다.  부산=김민주·안대훈·위성욱 기자 kim.minju6@joongang.co.kr ",사회,https://v.daum.net/v/20240104002906511,,2024-01-04 00:54:44.109481,2024-01-04 00:29:00
